Magazine,Month,Year,Date,Name,Nationality,Sex,Job,Hexidecimal
GQ USA,April,1990,April 1990,Bryan Brown,American,Male,Actor,#F3AC7C
GQ USA,April,1991,April 1991,Matt Dillon,American,Male,Actor,#FCC19F
GQ USA,April,1992,April 1992,John Godoman,American,Male,Actor,#F2AD6C
GQ USA,April,1993,April 1993,Prince Charles,American,Male,Prince,#F7856B
GQ USA,April,1994,April 1994,Barry Bonds,American,Male,Baseball Player,#C5522E
GQ USA,April,1994,April 1994,Willy Mays,American,Male,Baseball Player,#C14829
GQ USA,April,1995,April 1995,Grant Hill,American,Male,Baseball Player,#EF7143
GQ USA,April,1996,April 1996,Ken Griffey Jr.,American,Male,Baseball Player,#C96240
GQ USA,April,1997,April 1997,Tiger Woods,American,Male,Golf Player,#DD6950
GQ USA,April,1998,April 1998,Muhammed Ali,American,Male,Boxer,#D14E34
GQ USA,April,1999,April 1999,Mike Piazza,American,Male,Actor,#000000
GQ USA,April,2000,April 2000,Alex Rodriguez,American,Male,Baseball Player,#FE8F6E
GQ USA,April,2000,April 2000,Derek Jeter,American,Male,Baseball Player,#F1875E
GQ USA,April,2000,April 2000,Normar Garciaparra,American,Male,Baseball Player,#FEB994
GQ USA,April,2001,April 2001,Jaime King,Australian,Female,Actor,#EBAAB0
GQ USA,April,2002,April 2002,Katie Holmes,American,Female,Actor,#FFC18F
GQ USA,April,2003,April 2003,Bernie Mac,American,Male,Comedian,#78382D
GQ USA,April,2004,April 2004,Viggo Mortensen,Danish,Male,Actor,#F4AD92
GQ USA,April,2005,April 2005,Jessica Alba,American,Female,Actor,#CD6143
GQ USA,April,2006,April 2006,Adriana Lima,Brazilian,Female,Model,#AC896F
GQ USA,April,2007,April 2007,Lindsay Lohan,American,Female,Actor,#F6CEB7
GQ USA,April,2008,April 2008,Adriana Lima,Brazilian,Female,Model,#E5B080
GQ USA,April,2009,April 2009,Robert Pattinson,British,Male,Actor,#EABCA1
GQ USA,April,2010,April 2010,Shia LaBeouf,American,Male,Actor,#E6C0A6
GQ USA,April,2011,April 2011,Derek Jeter,American,Male,Baseball Player,#C78563
GQ USA,April,2012,April 2012,Dave Franco,American,Male,Actor,#EAB996
GQ USA,April,2012,April 2012,Drake,Canadian,Male,Actor,#D6AA89
GQ USA,April,2012,April 2012,John Slattery,American,Male,Actor,#F8D5BC
GQ USA,April,2013,April 2013,Bruno Mars,American,Male,Singer,#B87955
GQ USA,April,2013,April 2013,Jason Bateman,American,Male,Actor,#FFD0AE
